Comparison (group1/group2),Group,ProteinGroups,PTM.ModificationTitle,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process,Condition (Numerator),Condition (Denominator),protein_log2fc,corrected_log2fc,site_class
P3C4+Nigericin / P3C4,P49588_K898_M1_17,P49588,GlyGly (K),-1.9593023524486155,1.9593023524486155,0.00979492718756306,0.45196104398821985,6,P49588,AARS1,"Alanine--tRNA ligase, cytoplasmic",SYAC_HUMAN,62,288.8738847992967,3.888738847992967,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.9486729123872544,-1.0106294400613611,Robust
P3C4+Nigericin / Unstim,Q15907_T59_M1_31,Q15907,Sulfo (STY),-1.0444292613747677,1.0444292613747677,0.00981935551311174,0.45196104398821985,4,Q15907,RAB11B,Ras-related protein Rab-11B,RB11B_HUMAN,24,106.25502402027878,2.062550240202788,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.1980606470627045,-0.8463686143120632,Robust
LPS / Unstim,Q92835_T1012_M1_31,Q92835,Sulfo (STY),2.0885038554997792,2.0885038554997792,0.00988194188336256,0.45196104398821985,6,Q92835,INPP5D,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",SHIP1_HUMAN,74,-76.4875603722,0.23512439627800005,Unstim,LPS,NA,NA,NA,LPS,Unstim,-0.31235135366624583,2.400855209166025,Robust
P3C4+Nigericin / Unstim,Q9ULC4_K122_M1_22,Q9ULC4,Methyl (KR),-2.9443738192657825,2.9443738192657825,0.0098230564415624309,0.45196104398821985,6,Q9ULC4,MCTS1,Malignant T-cell-amplified sequence 1,MCTS1_HUMAN,9,669.7413869475563,7.697413869475563,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-1.3400903898136904,-1.604283429452092,Robust
P3C4+Nigericin / Unstim,Cont_P68103_C411_M2_23,Cont_P68103;P68104,Myristoyl,-2.3214639982556182,2.3214639982556182,0.00992946400594617,0.4522442902527566,6,Cont_P68103;P68104,EEF1A1,Elongation factor 1-alpha 1,EF1A1_BOVIN;EF1A1_HUMAN,61,399.8391822320009,4.998391822320009,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.7758687246921782,-1.54559527356344,Robust
P3C4+Nigericin / Unstim,P68104_C411_M2_23,Cont_P68103;P68104,Myristoyl,-2.3214639982556182,2.3214639982556182,0.00992946400594617,0.4522442902527566,6,Cont_P68103;P68104,EEF1A1,Elongation factor 1-alpha 1,EF1A1_BOVIN;EF1A1_HUMAN,61,399.8391822320009,4.998391822320009,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.7758687246921782,-1.54559527356344,Robust
P3C4+Nigericin / P3C4,Q86V81_K235_M1_13,Q86V81,Dimethyl (KR),-2.855138244157554,2.855138244157554,0.00998204289798279,0.4522953687550076,6,Q86V81,ALYREF,THO complex subunit 4,THOC4_HUMAN,25,623.5728340432199,7.2357283404322,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.3837546432467842,-1.4713836009107697,Robust
P3C4+Nigericin / P3C4,O60784_R373_M1_22,O60784,Methyl (KR),-1.9946276190164829,1.9946276190164829,0.01011088073642777,0.4532456152024203,5,O60784,TOM1,Target of Myb1 membrane trafficking protein,TOM1_HUMAN,28,298.5132296808174,3.985132296808174,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.3284606273231976,-0.6661669916932853,Robust
P3C4+Nigericin / P3C4,P14317_S275_M1_28,P14317,Phospho (STY),-3.1336617124031965,3.1336617124031965,0.01012253514094601,0.4533877162578629,6,P14317,HCLS1,Hematopoietic lineage cell-specific protein,HCLS1_HUMAN,51,777.6597295648065,8.776597295648065,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.4382785635146582,-1.6953831488885382,Robust
LPS / Unstim,P09525_K9_M1_10,P09525,Crotonyl,-5.670914231701836,5.670914231701836,0.01018104573660935,0.4538459958303805,5,P09525,ANXA4,Annexin A4,ANXA4_HUMAN,43,4994.660945312374,50.94660945312374,Unstim,LPS,NA,NA,NA,LPS,Unstim,-0.2036765990328336,-5.467237632669002,Robust
P3C4+Nigericin / Unstim,Q86UE4_K246_M2_10,Q86UE4,Crotonyl,3.099372369337077,3.099372369337077,0.01021563558362709,0.4539946896114267,6,Q86UE4,MTDH,Protein LYRIC,LYRIC_HUMAN,52,-88.33201266360928,0.11667987336390712,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-1.8416868049741248,4.941059174311202,Robust
P3C4+Nigericin / Unstim,Q86UE4_K245_M2_10,Q86UE4,Crotonyl,3.099372369337077,3.099372369337077,0.01021563558362709,0.4539946896114267,6,Q86UE4,MTDH,Protein LYRIC,LYRIC_HUMAN,52,-88.33201266360928,0.11667987336390712,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-1.8416868049741248,4.941059174311202,Robust
P3C4+Nigericin / Unstim,Q86V81_K235_M1_13,Q86V81,Dimethyl (KR),-2.776641534299354,2.776641534299354,0.01026932127196,0.4541012816698668,5,Q86V81,ALYREF,THO complex subunit 4,THOC4_HUMAN,25,585.2552776311032,6.8525527763110325,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-1.7052985338815134,-1.0713430004178404,Robust
P3C4+Nigericin / P3C4,Q16576_C277_M1_24,Q16576,Nitrosyl,-1.720991771166829,1.720991771166829,0.01035024177261923,0.45521429004842656,6,Q16576,RBBP7,Histone-binding protein RBBP7,RBBP7_HUMAN,27,229.66295364684728,3.296629536468473,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.10996181165418,-0.6110299595126489,Robust
LPS / Unstim,P07237_K401_M1_13,P07237,Dimethyl (KR),-1.593250773884174,1.593250773884174,0.0105005418916641,0.4556498147864233,6,P07237,P4HB,Protein disulfide-isomerase,PDIA1_HUMAN,110,201.72845818867532,3.017284581886753,Unstim,LPS,NA,NA,NA,LPS,Unstim,7.5644163386208e-4,-1.594007215518036,Robust
P3C4+Nigericin / P3C4,Q15942_R5_M1_13,Q15942,Dimethyl (KR),-2.1390687422142394,2.1390687422142394,0.01050253244123873,0.4556498147864233,6,Q15942,ZYX,Zyxin,ZYX_HUMAN,42,340.4776268250302,4.404776268250302,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.372666386605404,-0.7664023556088353,Robust
LPS+Nigericin / Unstim,Q9H1B7_C385_M1_24,Q9H1B7,Nitrosyl,-4.39252596176823,4.39252596176823,0.01050274294323537,0.4556498147864233,6,Q9H1B7,IRF2BPL,Probable E3 ubiquitin-protein ligase IRF2BPL,I2BPL_HUMAN,36,2000.3035731863863,21.003035731863864,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,-1.005421680184417,-3.3871042815838135,Robust
P3C4+Nigericin / P3C4,P02545_T10_M1_31,P02545,Sulfo (STY),2.203818966603325,2.203818966603325,0.01050770803757058,0.4556498147864233,4,P02545,LMNA,Prelamin-A/C,LMNA_HUMAN,127,-78.2937707226818,0.2170622927731821,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.4280964714736986,2.6319154380770238,Robust
P3C4+Nigericin / P3C4,O94966_C833_M1_24,O94966,Nitrosyl,-2.503900565726727,2.503900565726727,0.0105762080408119,0.4560066002607036,6,O94966,USP19,Ubiquitin carboxyl-terminal hydrolase 19,UBP19_HUMAN,25,467.21691886755286,5.672169188675529,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.9770264887926944,-1.5268740769340328,Robust
P3C4+Nigericin / P3C4,Q06323_T23_M2_31,Q06323,Sulfo (STY),-3.0084872309010384,3.0084872309010384,0.01058832832020459,0.456093162445733,5,Q06323,PSME1,Proteasome activator complex subunit 1,PSME1_HUMAN,26,704.720190728046,8.04720190728046,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.2181674521578347,-1.7903197787432037,Robust
P3C4+Nigericin / Unstim,Cont_P68103_C411_M1_24,Cont_P68103;P68104,Nitrosyl,0.756025058868021,0.756025058868021,0.01069860330911302,0.45633149843018217,6,Cont_P68103;P68104,EEF1A1,Elongation factor 1-alpha 1,EF1A1_BOVIN;EF1A1_HUMAN,61,-40.78744790771,0.5921255209229,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.7758687246921782,1.5318937835601991,Robust
P3C4+Nigericin / Unstim,P68104_C411_M1_24,Cont_P68103;P68104,Nitrosyl,0.756025058868021,0.756025058868021,0.01069860330911302,0.45633149843018217,6,Cont_P68103;P68104,EEF1A1,Elongation factor 1-alpha 1,EF1A1_BOVIN;EF1A1_HUMAN,61,-40.78744790771,0.5921255209229,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.7758687246921782,1.5318937835601991,Robust
LPS+Nigericin / Unstim,P04075_K342_M1_32,P04075,Trimethyl (K),0.831874248474695,0.831874248474695,0.01064572222022571,0.45633149843018217,6,P04075,ALDOA,Fructose-bisphosphate aldolase A,ALDOA_HUMAN,60,-43.82010818002882,0.5617989181997118,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,-0.49458061259773994,1.326454861072435,Robust
LPS+Nigericin / Unstim,Q6PJG2_C502_M1_24,Q6PJG2,Nitrosyl,-2.0285975897367954,2.0285975897367954,0.01075291356354365,0.45633149843018217,6,Q6PJG2,MIDEAS,Mitotic deacetylase-associated SANT domain protein,MDEAS_HUMAN,40,308.00804233074405,4.08008042330744,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,-1.08132952161221,-0.9472680681245853,Robust
P3C4+Nigericin / P3C4,Q92945_R304_M1_22,Q92945,Methyl (KR),-2.427077287186212,2.427077287186212,0.01077332100021644,0.4564775377116411,4,Q92945,KHSRP,Far upstream element-binding protein 2,FUBP2_HUMAN,56,437.8028077361073,5.378028077361073,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.3714750125394666,-1.0556022746467453,Robust
P3C4+Nigericin / P3C4,P04899_R143_M1_13,P04899,Dimethyl (KR),-1.166659500989858,1.166659500989858,0.0107943479981344,0.4567792095518017,6,P04899,GNAI2,Guanine nucleotide-binding protein G(i) subunit alpha-2,GNAI2_HUMAN,18,124.49129464032596,2.2449129464032596,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.06653465735739764,-1.1001248436324602,Robust
LPS+Nigericin / Unstim,P00491_C206_M1_24,P00491,Nitrosyl,-1.4374280887734237,1.4374280887734237,0.01091568597031787,0.45682637231138606,6,P00491,PNP,Purine nucleoside phosphorylase,PNPH_HUMAN,33,170.837609132973,2.70837609132973,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,-0.7887906973519254,-0.6486373914214982,Robust
P3C4+Nigericin / P3C4,P04075_R134_M1_22,P04075,Methyl (KR),-1.6612804185312404,1.6612804185312404,0.01081272955670849,0.45682637231138606,6,P04075,ALDOA,Fructose-bisphosphate aldolase A,ALDOA_HUMAN,60,216.29711975395705,3.1629711975395702,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.8986536171338553,-0.7626268013973851,Robust
LPS / Unstim,P09661_C89_M1_24,P09661,Nitrosyl,6.321003990570037,6.321003990570037,0.01083722194100879,0.45682637231138606,6,P09661,SNRPA1,U2 small nuclear ribonucleoprotein A',RU2A_HUMAN,37,-98.7491990681352,0.01250800931864807,Unstim,LPS,NA,NA,NA,LPS,Unstim,-0.22566435969264317,6.54666835026268,Robust
LPS+Nigericin / LPS,P17844_R502_M1_13,P17844,Dimethyl (KR),-1.7798781645775457,1.7798781645775457,0.01091162842649306,0.45682637231138606,5,P17844,DDX5,Probable ATP-dependent RNA helicase DDX5,DDX5_HUMAN,65,243.3971735006045,3.433971735006045,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,-0.14184733630927066,-1.638030828268275,Robust
LPS+Nigericin / LPS,P21796_K256_M1_17,P21796,GlyGly (K),2.699228860258073,2.699228860258073,0.0109400867560995,0.45682637231138606,6,P21796,VDAC1,Voltage-dependent anion-selective channel protein 1,VDAC1_HUMAN,42,-84.60246684552666,0.15397533154473336,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,0.6258868069211707,2.0733420533369022,Robust
P3C4+Nigericin / P3C4,Q09666_K3157_M2_17,Q09666,GlyGly (K),-11.312230952871062,11.312230952871062,0.01095901587658196,0.45682637231138606,6,Q09666,AHNAK,Neuroblast differentiation-associated protein AHNAK,AHNK_HUMAN,760,254185.05405930983,2542.8505405930982,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.9867293298478134,-10.325501623023248,Robust
P3C4+Nigericin / P3C4,Q09666_K3939_M2_17,Q09666,GlyGly (K),-11.312230952871062,11.312230952871062,0.01095901587658196,0.45682637231138606,6,Q09666,AHNAK,Neuroblast differentiation-associated protein AHNAK,AHNK_HUMAN,760,254185.05405930983,2542.8505405930982,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.9867293298478134,-10.325501623023248,Robust
P3C4+Nigericin / P3C4,Q8WWB7_T212_M2_31,Q8WWB7,Sulfo (STY),-1.1334355079008511,1.1334355079008511,0.01098327131649181,0.45682637231138606,5,Q8WWB7,GLMP,Glycosylated lysosomal membrane protein,GLMP_HUMAN,5,119.38053235976083,2.1938053235976085,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.5063834561855837,-0.6270520517152675,Robust
P3C4 / Unstim,Cont_Q3SYV4_S266_M1_31,Cont_Q3SYV4,Sulfo (STY),-1.6180073749133947,1.6180073749133947,0.011023768240055,0.4569172456488385,6,Cont_Q3SYV4,CAP1,Adenylyl cyclase-associated protein 1,CAP1_BOVIN,11,206.95078829803236,3.0695078829803237,Unstim,P3C4,NA,NA,NA,P3C4,Unstim,-0.37433303479118973,-1.243674340122205,Robust
P3C4 / Unstim,P46940_T407_M2_31,P46940,Sulfo (STY),2.9418390410912973,2.9418390410912973,0.01109799097429826,0.4570308843734128,6,P46940,IQGAP1,Ras GTPase-activating-like protein IQGAP1,IQGA1_HUMAN,148,-86.98577813645593,0.13014221863544068,Unstim,P3C4,NA,NA,NA,P3C4,Unstim,-0.08881482040748638,3.030653861498784,Robust
P3C4+Nigericin / P3C4,P19338_K370_M1_10,P19338,Crotonyl,-3.3934209880193493,3.3934209880193493,0.01115492466647748,0.4575499155884048,6,P19338,NCL,Nucleolin,NUCL_HUMAN,83,950.8034870595916,10.508034870595916,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.1053579812033816,-2.2880630068159675,Robust
LPS+Nigericin / Unstim,O94804_S438_M1_28,O94804,Phospho (STY),-2.8255447553149495,2.8255447553149495,0.01140638848476204,0.45757778317722286,6,O94804,STK10,Serine/threonine-protein kinase 10,STK10_HUMAN,73,608.8816353466068,7.0888163534660675,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,-0.4776707542163377,-2.347874001098612,Robust
LPS+Nigericin / LPS,P00441_K24_M2_32,P00441,Trimethyl (K),-3.2321757973268905,3.2321757973268905,0.01130092771007137,0.45757778317722286,5,P00441,SOD1,Superoxide dismutase [Cu-Zn],SODC_HUMAN,22,839.6840737143672,9.396840737143672,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,-0.6712599137580809,-2.5609158835688097,Robust
P3C4+Nigericin / Unstim,P14314_K301_M1_18,P14314,Hex (K),2.582433067200272,2.582433067200272,0.01144931176348062,0.45757778317722286,6,P14314,PRKCSH,Glucosidase 2 subunit beta,GLU2B_HUMAN,42,-83.3040865401767,0.166959134598233,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.1851091356309602,2.7675422028312324,Robust
P3C4+Nigericin / P3C4,P17535_S100_M1_28,P17535,Phospho (STY),-2.0285416926771727,2.0285416926771727,0.01124263585326943,0.45757778317722286,6,P17535,JUND,Transcription factor JunD,JUND_HUMAN,15,307.9922344105589,4.079922344105589,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.393180317416083,-0.6353613752610896,Robust
LPS+Nigericin / LPS,P17980_T309_M1_31,P17980,Sulfo (STY),-0.9841762933859448,0.9841762933859448,0.01133781901811829,0.45757778317722286,5,P17980,PSMC3,26S proteasome regulatory subunit 6A,PRS6A_HUMAN,49,97.81835466091133,1.978183546609113,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,-0.35531205632275686,-0.628864237063188,Robust
P3C4+Nigericin / P3C4,P28838_C445_M1_24,P28838,Nitrosyl,-7.806972012244767,7.806972012244767,0.01143906453002988,0.45757778317722286,6,P28838,LAP3,Cytosol aminopeptidase,AMPL_HUMAN,50,22294.055540902067,223.94055540902067,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.7839503218865997,-7.023021690358167,Robust
LPS+Nigericin / Unstim,P61020_S184_M1_31,P61020,Sulfo (STY),7.226785847709342,7.226785847709342,0.011448026172995,0.45757778317722286,6,P61020,RAB5B,Ras-related protein Rab-5B,RAB5B_HUMAN,11,-99.33239329837572,0.00667606701624282,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,0.05155508031280562,7.1752307673965365,Robust
P3C4+Nigericin / Unstim,Q9H1B7_C385_M1_24,Q9H1B7,Nitrosyl,-3.5781115794116474,3.5781115794116474,0.01138994319942214,0.45757778317722286,6,Q9H1B7,IRF2BPL,Probable E3 ubiquitin-protein ligase IRF2BPL,I2BPL_HUMAN,36,1094.315072533476,11.94315072533476,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-1.643335901487647,-1.9347756779240004,Robust
P3C4+Nigericin / Unstim,Q9H6F5_S47_M1_28,Q9H6F5,Phospho (STY),-2.097154233484994,2.097154233484994,0.01124017846533122,0.45757778317722286,5,Q9H6F5,CCDC86,Coiled-coil domain-containing protein 86,CCD86_HUMAN,24,327.8645742155117,4.278645742155117,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.6999622414163598,-1.3971919920686344,Robust
P3C4+Nigericin / Unstim,Q9H8Y8_R47_M1_13,Q9H8Y8,Dimethyl (KR),-1.6880372130244146,1.6880372130244146,0.0113562287201215,0.45757778317722286,6,Q9H8Y8,GORASP2,Golgi reassembly-stacking protein 2,GORS2_HUMAN,16,222.21802763728763,3.2221802763728764,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.751844090252894,-0.9361931227715206,Robust
P3C4+Nigericin / Unstim,O60306_Y50_M1_31,O60306,Sulfo (STY),-3.901584838832029,3.901584838832029,0.01134733988101373,0.45757778317722286,5,O60306,AQR,RNA helicase aquarius,AQR_HUMAN,49,1394.493625994927,14.944936259949271,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.7204864139139288,-3.1810984249181002,Robust
LPS+Nigericin / Unstim,P53999_K114_M1_22,P53999,Methyl (KR),-6.421688454594944,6.421688454594944,0.0114799580586608,0.4576315480286871,4,P53999,SUB1,Activated RNA polymerase II transcriptional coactivator p15,TCP4_HUMAN,20,8472.763594607412,85.72763594607412,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,-0.709961957187374,-5.711726497407571,Robust
P3C4 / Unstim,P30044_C100_M1_24,P30044,Nitrosyl,1.8214742734284728,1.8214742734284728,0.0115335727800533,0.4579674379409846,6,P30044,PRDX5,"Peroxiredoxin-5, mitochondrial",PRDX5_HUMAN,20,-71.7068301093952,0.282931698906048,Unstim,P3C4,NA,NA,NA,P3C4,Unstim,0.12436704199600145,1.6971072314324713,Robust
P3C4+Nigericin / P3C4,P46940_T407_M2_31,P46940,Sulfo (STY),-2.8591977616816244,2.8591977616816244,0.01153716459515404,0.4579674379409846,6,P46940,IQGAP1,Ras GTPase-activating-like protein IQGAP1,IQGA1_HUMAN,148,625.6117216983585,7.256117216983585,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.8194506632649,-2.0397470984167243,Robust
LPS+Nigericin / Unstim,P07203_K166_M2_13,P07203,Dimethyl (KR),-0.7479760053283651,0.7479760053283651,0.01161117303631683,0.45813855471559006,4,P07203,GPX1,Glutathione peroxidase 1,GPX1_HUMAN,25,67.94350535625895,1.6794350535625897,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,-0.02135579486380683,-0.7266202104645583,Robust
P3C4+Nigericin / P3C4,P21964_C207_M1_24,P21964,Nitrosyl,5.33948807700899,5.33948807700899,0.01164773862291997,0.45813855471559006,6,P21964,COMT,Catechol O-methyltransferase,COMT_HUMAN,28,-97.53024469291296,0.02469755307087041,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.2330316975719408,5.572519774580931,Robust
P3C4 / Unstim,Q04760_K28_M1_17,Q04760,GlyGly (K),2.4027437506618834,2.4027437506618834,0.01170686873064325,0.45813855471559006,6,Q04760,GLO1,Lactoylglutathione lyase,LGUL_HUMAN,31,-81.08954148483585,0.18910458515164152,Unstim,P3C4,NA,NA,NA,P3C4,Unstim,0.3888720880432915,2.013871662618592,Robust
P3C4+Nigericin / P3C4,Q99798_K458_M1_10,Q99798,Crotonyl,-0.8937121427966667,0.8937121427966667,0.01171601566970687,0.45813855471559006,6,Q99798,ACO2,"Aconitate hydratase, mitochondrial",ACON_HUMAN,68,85.7950599446796,1.857950599446796,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.2922310585500698,-0.6014810842465969,Robust
LPS / Unstim,Q9BU61_T152_M1_31,Q9BU61,Sulfo (STY),6.347662716913234,6.347662716913234,0.01180840951133368,0.4583784599989757,6,Q9BU61,NDUFAF3,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3,NDUF3_HUMAN,9,-98.7720996593438,0.01227900340656186,Unstim,LPS,NA,NA,NA,LPS,Unstim,-0.19512738810480293,6.542790105018037,Robust
P3C4+Nigericin / P3C4,O94804_S438_M1_28,O94804,Phospho (STY),-3.788791517496732,3.788791517496732,0.01185418566098424,0.4586255539471372,6,O94804,STK10,Serine/threonine-protein kinase 10,STK10_HUMAN,73,1282.1013592412964,13.821013592412966,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.6945386305090718,-3.09425288698766,Robust
P3C4+Nigericin / P3C4,Q15942_K25_M1_22,Q15942,Methyl (KR),-2.0512712698251536,2.0512712698251536,0.01186935184315908,0.45864149163859574,6,Q15942,ZYX,Zyxin,ZYX_HUMAN,42,314.47103105012457,4.144710310501246,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.372666386605404,-0.6786048832197495,Robust
LPS+Nigericin / Unstim,P54652_K129_M2_0,P54652,Acetyl (K),-6.056520952970354,6.056520952970354,0.011953322112901,0.4592047150845138,4,P54652,HSPA2,Heat shock-related 70 kDa protein 2,HSP72_HUMAN,38,6555.711309187649,66.55711309187649,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,-0.5349371549310042,-5.52158379803935,Robust
P3C4+Nigericin / P3C4,P17813_T295_M1_31,P17813,Sulfo (STY),-1.0929853950639183,1.0929853950639183,0.01202951783975896,0.45982930915944664,6,P17813,ENG,Endoglin,EGLN_HUMAN,20,113.31499668872728,2.133149966887273,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,0.12986678429351078,-1.2228521793574292,Robust
P3C4+Nigericin / P3C4,P17813_K291_M1_32,P17813,Trimethyl (K),-1.0929853950639183,1.0929853950639183,0.01202951783975896,0.45982930915944664,6,P17813,ENG,Endoglin,EGLN_HUMAN,20,113.31499668872728,2.133149966887273,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,0.12986678429351078,-1.2228521793574292,Robust
P3C4+Nigericin / P3C4,Q9H307_S18_M1_31,Q9H307,Sulfo (STY),-2.421214136155465,2.421214136155465,0.01203068233685203,0.4598467977797122,6,Q9H307,PNN,Pinin,PININ_HUMAN,48,435.6215980657949,5.356215980657948,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.5100356781393343,-1.9111784580161308,Robust
P3C4 / Unstim,P52788_K210_M1_22,P52788,Methyl (KR),1.5858097446144417,1.5858097446144417,0.01203802603424497,0.45993829756004656,6,P52788,SMS,Spermine synthase,SPSY_HUMAN,16,-66.6862364103235,0.3331376358967649,Unstim,P3C4,NA,NA,NA,P3C4,Unstim,0.4658566863847393,1.1199530582297024,Robust
P3C4 / Unstim,P52788_C206_M1_24,P52788,Nitrosyl,1.5858097446144417,1.5858097446144417,0.01203802603424497,0.45993829756004656,6,P52788,SMS,Spermine synthase,SPSY_HUMAN,16,-66.6862364103235,0.3331376358967649,Unstim,P3C4,NA,NA,NA,P3C4,Unstim,0.4658566863847393,1.1199530582297024,Robust
P3C4+Nigericin / Unstim,P61978_C132_M1_24,P61978,Nitrosyl,-3.0253336602291,3.0253336602291,0.01204413803510412,0.4600364418616309,6,P61978,HNRNPK,Heterogeneous nuclear ribonucleoprotein K,HNRPK_HUMAN,58,714.1720300725157,8.141720300725156,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-1.2995271134873687,-1.7258065467417314,Robust
LPS+Nigericin / Unstim,P08621_C39_M1_24,P08621,Nitrosyl,-5.788165220943173,5.788165220943173,0.01211351870230066,0.46088257818296474,6,P08621,SNRNP70,U1 small nuclear ribonucleoprotein 70 kDa,RU17_HUMAN,33,5426.005990279106,55.26005990279106,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,-0.7739025966423818,-5.014262624300791,Robust
P3C4+Nigericin / P3C4,P22061_K24_M2_13,P22061,Dimethyl (KR),-3.179450778614582,3.179450778614582,0.01214863678435212,0.46141568334388133,5,P22061,PCMT1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,PIMT_HUMAN,19,805.9621507116871,9.059621507116873,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.0773075163456534,-2.1021432622689282,Robust
LPS+Nigericin / Unstim,P12956_K516_M2_10,P12956,Crotonyl,-3.4361595432795906,3.4361595432795906,0.0121734992279819,0.46147005644267,6,P12956,XRCC6,X-ray repair cross-complementing protein 6,XRCC6_HUMAN,73,982.3982773724982,10.823982773724982,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,-0.8245431367846101,-2.6116164064949805,Robust
LPS+Nigericin / Unstim,P12956_K510_M2_10,P12956,Crotonyl,-3.4361595432795906,3.4361595432795906,0.0121734992279819,0.46147005644267,6,P12956,XRCC6,X-ray repair cross-complementing protein 6,XRCC6_HUMAN,73,982.3982773724982,10.823982773724982,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,-0.8245431367846101,-2.6116164064949805,Robust
